TABLE TITLE,CHIFFRE DU CODE,NUMÉRO DE BIT,VALEUR,SIGNIFICATION,REMARQUES,UNITÉ,NUMÉRO de BIT
Table d'indicateurs 3.3 - Indicateurs de résolution et de composantes,,1-2,,En réserve,,,
Table d'indicateurs 3.3 - Indicateurs de résolution et de composantes,,3,0,Incréments non indiqués dans la direction i,,,
Table d'indicateurs 3.3 - Indicateurs de résolution et de composantes,,3,1,Incréments indiqués dans la direction i,,,
Table d'indicateurs 3.3 - Indicateurs de résolution et de composantes,,4,0,Incréments non indiqués dans la direction j,,,
Table d'indicateurs 3.3 - Indicateurs de résolution et de composantes,,4,1,Incréments indiqués dans la direction j,,,
Table d'indicateurs 3.3 - Indicateurs de résolution et de composantes,,5,0,Composantes u et v calculées des grandeurs vectorielles par rapport aux directions est et nord,,,
Table d'indicateurs 3.3 - Indicateurs de résolution et de composantes,,5,1,Composantes u et v calculées des grandeurs vectorielles par rapport à la grille définie dans la direction des coordonnées croissantes x et y (ou i et j) respectivement,,,
Table d'indicateurs 3.3 - Indicateurs de résolution et de composantes,,6-8,,En réserve - mis à zéro,,,
Table d'indicateurs 3.4 - Mode d'exploration,,1,0,Exploration des points de la première ligne ou colonne dans la direction +i (+x),,,
Table d'indicateurs 3.4 - Mode d'exploration,,1,1,Exploration des points de la première ligne ou colonne dans la direction -i (-x),,,
Table d'indicateurs 3.4 - Mode d'exploration,,2,0,Exploration des points de la première ligne ou colonne dans la direction -j (-y),,,
Table d'indicateurs 3.4 - Mode d'exploration,,2,1,Exploration des points de la première ligne ou colonne dans la direction +j (+y),,,
Table d'indicateurs 3.4 - Mode d'exploration,,3,0,Les points adjacents dans la direction i (x) sont consécutifs,,,
Table d'indicateurs 3.4 - Mode d'exploration,,3,1,Les points adjacents dans la direction j (y) sont consécutifs,,,
Table d'indicateurs 3.4 - Mode d'exploration,,4,0,Exploration de toutes les lignes dans la même direction,,,
Table d'indicateurs 3.4 - Mode d'exploration,,4,1,Exploration des lignes adjacentes dans la direction opposée,,,
Table d'indicateurs 3.4 - Mode d'exploration,,5,0,Les points des lignes impaires ne sont pas décalés dans la direction i (x),,,
Table d'indicateurs 3.4 - Mode d'exploration,,5,1,Les points des lignes impaires sont décalés de Di/2 dans la direction i (x),,,
Table d'indicateurs 3.4 - Mode d'exploration,,6,0,Les points des lignes paires ne sont pas décalés dans la direction i (x),,,
Table d'indicateurs 3.4 - Mode d'exploration,,6,1,Les points des lignes paires sont décalés de Di/2 dans la direction i (x),,,
Table d'indicateurs 3.4 - Mode d'exploration,,7,0,Les points ne sont pas décalés dans la direction j (y),,,
Table d'indicateurs 3.4 - Mode d'exploration,,7,1,Les points sont décalés de Dj/2 dans la direction j (y),,,
Table d'indicateurs 3.4 - Mode d'exploration,,8,0,"Les lignes contiennent Ni points de grille et les colonnes, Nj points de grille",,,
Table d'indicateurs 3.4 - Mode d'exploration,,8,1,"Les lignes contiennent Ni points de grille, si les points ne sont pas décalés dans la direction i
Les lignes contiennent Ni-1 points de grille, si les points sont décalés de Di/2 dans la direction i
Les colonnes contiennent Nj points de grille, si les points ne sont pas décalés dans la direction j
Les colonnes contiennent Nj-1 points de grille, si les points sont décalés de Dj/2 dans la direction j",,,
Table d'indicateurs 3.5 - Centre de la projection,,1,0,Le pôle Nord se situe sur le plan de la projection,,,
Table d'indicateurs 3.5 - Centre de la projection,,1,1,Le pôle Sud se situe sur le plan de la projection,,,
Table d'indicateurs 3.5 - Centre de la projection,,2,0,Un seul centre de projection est utilisé,,,
Table d'indicateurs 3.5 - Centre de la projection,,2,1,La projection est bipolaire et symétrique,,,
Table d'indicateurs 3.9 - Ordre de numérotation des losanges vus du pôle correspondant,,1,0,Sens horaire,,,
Table d'indicateurs 3.9 - Ordre de numérotation des losanges vus du pôle correspondant,,1,1,Sens antihoraire,,,
Table d'indicateurs 3.9 - Ordre de numérotation des losanges vus du pôle correspondant,,2-8,,En réserve,,,
Table d'indicateurs 3.10 - Mode d'exploration appliqué à un losange,,1,0,Exploration des points dans la direction +i – du pôle à l'équateur,,,
Table d'indicateurs 3.10 - Mode d'exploration appliqué à un losange,,1,1,Exploration des points dans la direction -i - de l'équateur au pôle,,,
Table d'indicateurs 3.10 - Mode d'exploration appliqué à un losange,,2,0,Exploration des points dans la direction +j – d'ouest en est,,,
Table d'indicateurs 3.10 - Mode d'exploration appliqué à un losange,,2,1,Exploration des points dans la direction -j - d'est en ouest,,,
Table d'indicateurs 3.10 - Mode d'exploration appliqué à un losange,,3,0,Les points adjacents dans la direction i sont consécutifs,,,
Table d'indicateurs 3.10 - Mode d'exploration appliqué à un losange,,3,1,Les points adjacents dans la direction j sont consécutifs,,,
Table d'indicateurs 3.10 - Mode d'exploration appliqué à un losange,,4-8,,En réserve,,,
