TABLE TITLE,CHIFFRE DU CODE,NUMÉRO DE BIT,VALEUR,SIGNIFICATION,REMARQUES,UNITÉ,NUMÉRO de BIT
Table de code 3.0 — Source de la définition de la grille,0,,,Précisée dans la table de code 3.1,,,
Table de code 3.0 — Source de la définition de la grille,1,,,Définition de grille prédéterminée,Définition établie par le centre d'origine,,
Table de code 3.0 — Source de la définition de la grille,2-191,,,En réserve,,,
Table de code 3.0 — Source de la définition de la grille,192-254,,,En réserve pour un usage local,,,
Table de code 3.0 — Source de la définition de la grille,255,,,Aucune définition de grille ne s'applique au produit,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,0,,,Grille latitude/longitude,Projection appelée aussi équidistante cylindrique ou Plate Carrée,,
Table de code 3.1 — Numéro du modèle de définition de la grille,1,,,Grille latitude/longitude après rotation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,2,,,Grille latitude/longitude après dilatation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,3,,,Grille latitude/longitude après dilatation et rotation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,4,,,Grille latitude/longitude de résolution variable,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,5,,,Grille latitude/longitude de résolution variable après rotation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,6-9,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,10,,,Projection de Mercator,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,11-12,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,13,,,Projection de Mercator avec définition des sous-domaines de modélisation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,14-19,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,20,,,Projection stéréographique polaire,Sud ou nord,,
Table de code 3.1 — Numéro du modèle de définition de la grille,21-22,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,23,,,Projection stéréographique polaire avec définition des sous-domaines de modélisation,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,24-29,,,En réserve,,,
Table de code 3.1 — Numéro du modèle de définition de la grille,30,,,Projection conforme de Lambert,"Sécante ou tangente, conique ou bipolaire",,
Table de code 3.1 — Numéro du modèle de définition de la grille,31,,,Projection d'Albers conservant le rapport des aires,,,
