TABLE TITLE,CHIFFRE DU CODE,NUMÉRO DE BIT,VALEUR,SIGNIFICATION,REMARQUES,UNITÉ
Table de code 4.240 - Type de distribution,0,,,Aucune précision fournie sur la fonction de distribution,,
Table de code 4.240 - Type de distribution,1,,,Fonctions delta - concentration variable dans l'espace et diamètres fixes Dᵢ (p1) en mètres,(voir la note 1),mètres
Table de code 4.240 - Type de distribution,2,,,Fonctions delta – concentration variable dans l'espace et masses fixes Mᵢ (p1) en kg,(voir la note 2),kg
Table de code 4.240 - Type de distribution,3,,,"Loi normale (de Gauss) - concentration variable dans l'espace et diamètre moyen Dᵢ (p1), et variance σ (p2) fixes",(voir la note 3),
Table de code 4.240 - Type de distribution,4,,,"Loi normale (de Gauss) - concentration, diamètre moyen et variance variables dans l'espace",(voir la note 4),
Table de code 4.240 - Type de distribution,5,,,"Distribution log-normale - concentration en nombre, diamètre moyen et variance variables dans l'espace",(voir la note 5),
Table de code 4.240 - Type de distribution,6,,,Distribution log-normale - concentration en nombre et diamètre moyen variables dans l'espace et variance σ (p1) fixe,(voir la note 6),
Table de code 4.240 - Type de distribution,7,,,"Distribution log-normale - concentrations en nombre et en masse variables dans l'espace, variance σ fixe (p1) et concentration de particules ρ (p2) fixe",(voir la note 7),
Table de code 4.240 - Type de distribution,8,,,Pas de fonction de distribution. La variable codée est obtenue à partir de variables qui se caractérisent par une fonction de distribution de type N° 7 (voir ci-dessus) avec une variance σ fixe (p1) et une concentration de particules fixe ρ (p2),,
Table de code 4.240 - Type de distribution,9-49151,,,En réserve,,
Table de code 4.240 - Type de distribution,49152-65534,,,En réserve pour un usage local,,
Table de code 4.240 - Type de distribution,65535,,,Valeur manquante,,
Table de code 4.241 - Caractéristique de la couverture,0,,,Valeur indéfinie,,
Table de code 4.241 - Caractéristique de la couverture,1,,,Valeur inchangée,,
Table de code 4.241 - Caractéristique de la couverture,2,,,Surface couverte de neige,,
Table de code 4.241 - Caractéristique de la couverture,3,,,Surface inondée,,
Table de code 4.241 - Caractéristique de la couverture,4,,,Surface couverte de glace,,
Table de code 4.241 - Caractéristique de la couverture,5-191,,,En réserve,,
Table de code 4.241 - Caractéristique de la couverture,192-254,,,En réserve pour un usage local,,
Table de code 4.241 - Caractéristique de la couverture,255,,,Valeur manquante,,
Table de code 4.242 - Classification des dalles,0,,,En réserve,,
Table de code 4.242 - Classification des dalles,1,,,Classes d'occupation des sols selon le programme GlobCover GCV2009 de l'ESA,,
Table de code 4.242 - Classification des dalles,2,,,Classes d'occupation des sols selon le programme GLC2000 de la Commission européenne sur l'occupation des sols à l'échelle mondiale,,
Table de code 4.242 - Classification des dalles,3-191,,,En réserve,,
Table de code 4.242 - Classification des dalles,192-254,,,En réserve pour un usage local,,
Table de code 4.242 - Classification des dalles,255,,,Valeur manquante,,
Table de code 4.243 - Classe de dalle,0,,,En réserve,,
Table de code 4.243 - Classe de dalle,1,,,Forêt: arbres à larges feuilles persistantes,,
Table de code 4.243 - Classe de dalle,2,,,Forêt fermée: arbres à larges feuilles caduques,,
Table de code 4.243 - Classe de dalle,3,,,Forêt ouverte: arbres à larges feuilles caduques,,
Table de code 4.243 - Classe de dalle,4,,,Forêt: conifères à feuillage persistant,,
