TABLE_TITLE,OCTET_NO,CONTENU
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",14,Indicateur du processus de production de l'analyse ou de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",24,Facteur d'échelle – première surface spécifiée
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",25-28,Valeur ajustée – première surface spécifiée
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",30,Facteur d'échelle – deuxième surface spécifiée
"Modèle de définition du produit 4.0 — Analyse ou prévision pour une surface ou une couche horizontale, à un moment donné",31-34,Valeur ajustée – deuxième surface spécifiée
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",10,Catégorie du paramètre (voir la table de code 4.1)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",11,Numéro du paramètre (voir la table de code 4.2)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",12,Type du processus de production (voir la table de code 4.3)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",13,Indicateur du processus de production de base (défini par le centre d'origine)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",14,Indicateur du processus de production de la prévision (défini par le centre d'origine)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",15-16,Limite (heures) de tombée des données d'observation après l'heure de référence (voir la note)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",17,Limite (minutes) de tombée des données d'observation après l'heure de référence
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",18,Indicateur d'unité de l'intervalle de temps (voir la table de code 4.4)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",19-22,Heure de la prévision exprimée dans l'unité précisée par l'octet 18
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",23,Type de la première surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",24,Facteur d'échelle - première surface spécifiée
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",25-28,Valeur ajustée - première surface spécifiée
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",29,Type de la deuxième surface spécifiée (voir la table de code 4.5)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",30,Facteur d'échelle - deuxième surface spécifiée
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",31-34,Valeur ajustée - deuxième surface spécifiée
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",35,Type de la prévision d'ensemble (voir la table de code 4.6)
"Modèle de définition du produit 4.1 — Prévision d'ensemble prise séparément, de contrôle ou «perturbée», pour une surface ou une couche horizontale, à un moment donné",36,Numéro de la perturbation
