Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status
"Modèle de définition du produit 4.1002 – Coupe d'une analyse ou d'une prévision, moyennée ou ayant fait l'objet d'un autre traitement statistique le long d'une latitude ou d'une longitude donnée",10,,Catégorie du paramètre,(voir la table de code 4.1),,,,Operational
"Modèle de définition du produit 4.1002 – Coupe d'une analyse ou d'une prévision, moyennée ou ayant fait l'objet d'un autre traitement statistique le long d'une latitude ou d'une longitude donnée",11,,Numéro du paramètre,(voir la table de code 4.2),,,,Operational
"Modèle de définition du produit 4.1002 – Coupe d'une analyse ou d'une prévision, moyennée ou ayant fait l'objet d'un autre traitement statistique le long d'une latitude ou d'une longitude donnée",12,,Type du processus de production,(voir la table de code 4.3),,,,Operational
"Modèle de définition du produit 4.1002 – Coupe d'une analyse ou d'une prévision, moyennée ou ayant fait l'objet d'un autre traitement statistique le long d'une latitude ou d'une longitude donnée",13,,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.1002 – Coupe d'une analyse ou d'une prévision, moyennée ou ayant fait l'objet d'un autre traitement statistique le long d'une latitude ou d'une longitude donnée",14,,Indicateur du processus de production de l'analyse ou de la prévision (défini par le centre d'origine),,,,,Operational
(Modèle de définition du produit 4.1002 suite),15-16,,Limite (heures) de tombée des données d'observation après l'heure de référence,(voir la note),,,,Operational
(Modèle de définition du produit 4.1002 suite),17,,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational
(Modèle de définition du produit 4.1002 suite),18,,Indicateur d'unité de l'intervalle de temps,(voir la table de code 4.4),,,,Operational
(Modèle de définition du produit 4.1002 suite),19-22,,Heure de la prévision exprimée dans l'unité précisée par l'octet 18,,,,,Operational
(Modèle de définition du produit 4.1002 suite),23,,Dimension horizontale calculée,(voir la table de code 4.220),,,,Operational
(Modèle de définition du produit 4.1002 suite),24,,Traitement pour les données manquantes (par exemple sous la surface),(voir la table de code 4.221),,,,Operational
(Modèle de définition du produit 4.1002 suite),25,,Type de calcul statistique,(voir la table de code 4.10),,,,Operational
(Modèle de définition du produit 4.1002 suite),26-29,,Début de l'intervalle,,,,,Operational
(Modèle de définition du produit 4.1002 suite),30-33,,Fin de l'intervalle,,,,,Operational
(Modèle de définition du produit 4.1002 suite),34-35,,Nombre de valeurs,,,,,Operational
