Title_es,SubTitle_es,CodeFlag,Value,MeaningParameterDescription_es,Note_es,noteIDs,UnitComments_es,Status
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,0,,Flujo neto de la radiación de onda corta (superficie)*,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,1,,Flujo neto de la radiación de onda corta* (capa superior de la atmósfera),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,2,,Flujo de la radiación de onda corta*,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,3,,Flujo de la radiación global,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,4,,Temperatura de luminancia,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,5,,Radiancia (con respecto al número de onda),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,6,,Radiancia (con respecto a la longitud de onda),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,7,,Flujo de la radiación de onda corta descendente,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,8,,Flujo de la radiación de onda corta ascendente,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,9,,Flujo neto de la radiación de onda corta,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,10,,Radiación fotosintéticamente activa,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,11,,Balance de la radiación de onda corta en cielo despejado,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,12,,Radiación UV descendente,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,13,,Flujo directo de radiación de onda corta,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,14,,Flujo difuso de radiación de onda corta,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,15-49,,Reservados,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,50,,Índice UV** (cielo claro),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,51,,Índice UV*,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,52,,"Flujo de la radiación de onda corta descendente, cielo claro",,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,53,,"Flujo de la radiación de onda corta ascendente, cielo claro",,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,54,,Flujo de radiación de onda corta directo normal (véase la nota 1),,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,55-191,,Reservados,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,192-254,,Reservados para uso local,,,,Operational
"Campo de especialización 0 — Productos meteorológicos, categoría de parámetros 4: radiación de onda corta",,255,,Valor faltante,,,,Operational
