Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
Modelo de definición del producto 4.14,10,,Categoría del parámetro,véase la Tabla de cifrado 4.1,,,,Operational
Modelo de definición del producto 4.14,11,,Número del parámetro,véase la Tabla de cifrado 4.2,,,,Operational
Modelo de definición del producto 4.14,12,,Tipo del proceso de producción,véase la Tabla de cifrado 4.3,,,,Operational
Modelo de definición del producto 4.14,13,,Identificador del proceso de producción de base,definido por el centro de origen,,,,Operational
Modelo de definición del producto 4.14,14,,Identificador del proceso de producción de la previsión,definido por el centro de origen,,,,Operational
Modelo de definición del producto 4.14,15-16,,Límite de la recogida de los datos de observación después de la hora de referencia,horas; véase la nota 1,,,,Operational
Modelo de definición del producto 4.14,17,,Límite de la recogida de los datos de observación después de la hora de referencia,minutos,,,,Operational
Modelo de definición del producto 4.14,18,,Indicador de unidad del intervalo de tiempo,véase la Tabla de cifrado 4.4,,,,Operational
Modelo de definición del producto 4.14,19-22,,Hora de la previsión expresada en la unidad precisada por el octeto 18,véase la nota 2,,,,Operational
Modelo de definición del producto 4.14,23,,Tipo de la primera superficie especificada,véase la Tabla de cifrado 4.5,,,,Operational
Modelo de definición del producto 4.14,24,,Factor de escala de la primera superficie especificada,,,,,Operational
Modelo de definición del producto 4.14,25-28,,Valor ajustado de la primera superficie especificada,,,,,Operational
Modelo de definición del producto 4.14,29,,Tipo de la segunda superficie especificada,véase la Tabla de cifrado 4.5,,,,Operational
Modelo de definición del producto 4.14,30,,Factor de escala de la segunda superficie especificada,,,,,Operational
Modelo de definición del producto 4.14,31-34,,Valor ajustado de la segunda superficie especificada,,,,,Operational
Modelo de definición del producto 4.14,35,,Previsión derivada,véase la Tabla de cifrado 4.7,,,,Operational
Modelo de definición del producto 4.14,36,,Número de previsiones en el conjunto,N,,,,Operational
Modelo de definición del producto 4.14,37,,Identificador de grupo,,,,,Operational
Modelo de definición del producto 4.14,38,,Número del grupo al que pertenece el comando de alta resolución,,,,,Operational
Modelo de definición del producto 4.14,39,,Número del grupo al que pertenece el comando de baja resolución,,,,,Operational
Modelo de definición del producto 4.14,40,,Número total de grupos,,,,,Operational
Modelo de definición del producto 4.14,41,,Método de agrupación,véase la Tabla de cifrado 4.8,,,,Operational
Modelo de definición del producto 4.14,42-45,,Latitud del punto central en el dominio del grupo,,,,,Operational
Modelo de definición del producto 4.14,46-49,,Longitud del punto central en el dominio del grupo,,,,,Operational
Modelo de definición del producto 4.14,50-53,,Radio del dominio del grupo,,,,,Operational
Modelo de definición del producto 4.14,54,,Nc - número de previsiones en el grupo,,,,,Operational
Modelo de definición del producto 4.14,55,,Factor de escala de desviación estándar en el grupo,,,,,Operational
Modelo de definición del producto 4.14,56-59,,Valor ajustado de desviación estándar en el grupo,,,,,Operational
Modelo de definición del producto 4.14,60,,Factor de escala de distancia del grupo desde la media del conjunto Valor ajustado de distancia del grupo desde la media del conjunto,,,,,Operational
Modelo de definición del producto 4.14,65-66,,Año del final del intervalo de tiempo completo,,,,,Operational
Modelo de definición del producto 4.14,67,,Mes del final del intervalo de tiempo completo,,,,,Operational
Modelo de definición del producto 4.14,68,,Día del final del intervalo de tiempo completo,,,,,Operational
Modelo de definición del producto 4.14,69,,Hora del final del intervalo de tiempo completo,,,,,Operational
Modelo de definición del producto 4.14,70,,Minuto del final del intervalo de tiempo completo,,,,,Operational
Modelo de definición del producto 4.14,71,,Segundo del final del intervalo de tiempo completo,,,,,Operational
Modelo de definición del producto 4.14,72,,n - Número de las especificaciones que describen los intervalos de tiempo empleados para el cálculo estadístico del campo,,,,,Operational
Modelo de definición del producto 4.14,73-76,,Número total de los valores faltantes en el cálculo estadístico,,,,,Operational
Modelo de definición del producto 4.14,77-78,,Especificación del intervalo de tiempo más remoto para el que se hacen cálculos estadísticos,o intervalo de tiempo único,,,,Operational
Modelo de definición del producto 4.14,77,,Cálculo estadístico empleado para calcular el campo procesado a partir del campo incremento de tiempo durante el intervalo de tiempo,véase la Tabla de cifrado 4.10,,,,Operational
Modelo de definición del producto 4.14,78,,Tipo de incremento de tiempo entre los campos sucesivos empleado para el cálculo estadístico,véase la Tabla de cifrado 4.11,,,,Operational
Modelo de definición del producto 4.14,79,,Indicador de la unidad de tiempo empleada para el intervalo de tiempo para el cual se hace el cálculo estadístico,véase la Tabla de cifrado 4.4,,,,Operational
Modelo de definición del producto 4.14,80-83,,"Duración del intervalo de tiempo durante el cual se realiza el cálculo estadístico, en unidades definidas por el octeto precedente",,,,,Operational
Modelo de definición del producto 4.14,84,,Indicador de la unidad de tiempo empleada para el incremento de tiempo entre los campos sucesivos,véase la Tabla de cifrado 4.4,,,,Operational
Modelo de definición del producto 4.14,85-88,,"Incremento de tiempo entre los campos sucesivos, expresado en la unidad indicada por el octeto precedente y 4)",véanse las notas 3,,,,Operational
Modelo de definición del producto 4.14,89-nn,,"Estos octetos figuran en el mensaje únicamente si n>1, donde nn = 76+12 x n",,,,,Operational
Modelo de definición del producto 4.14,89-110,,"Mismo contenido que el de los octetos 77 a 88, para la etapa siguiente del cálculo",,,,,Operational
Modelo de definición del producto 4.14,111-nn,,"Especificaciones de los intervalos de tiempo suplementarios, incluidos en función del valor de n. El contenido es el mismo que el de los octetos 77 a 88, repetidos en caso necesario",,,,,Operational
Modelo de definición del producto 4.14,(nn+1)-(nn+Nc),,Lista de números de previsión del conjunto Nc,Nc está expresado en octeto 54,,,,Operational
